epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,132.796,0.00562,0.99942,1,0.00224,0.000555092,0.000555092,0.000555092
2,260.932,0.01141,0.99827,1,0.00468,0.00105578,0.00105578,0.00105578
3,388.507,0.01989,0.99942,1,0.00151,0.00150145,0.00150145,0.00150145
4,529.768,0.02194,0.99885,1,0.00288,0.00141945,0.00141945,0.00141945
5,693.159,0.01245,0.99942,1,0.00077,0.00133693,0.00133693,0.00133693
6,837.655,0.00951,0.99942,1,0.00243,0.00125442,0.00125442,0.00125442
7,982.232,0.00906,0.99942,1,0.00306,0.0011719,0.0011719,0.0011719
8,1124.89,0.00821,1,1,0.00036,0.00108938,0.00108938,0.00108938
9,1269.97,0.0064,0.99885,1,0.00397,0.00100687,0.00100687,0.00100687
10,1414.2,0.00749,0.99942,1,0.00257,0.000924352,0.000924352,0.000924352
11,1559.35,0.00904,0.99827,1,0.0055,0.000841835,0.000841835,0.000841835
12,1701.67,0.00568,0.99942,1,0.00257,0.000759318,0.000759318,0.000759318
13,1846.81,0.0042,0.99885,1,0.00406,0.000676802,0.000676802,0.000676802
14,1992.62,0.00433,0.99885,1,0.00473,0.000594286,0.000594286,0.000594286
15,2148.95,0.00306,0.99885,1,0.00224,0.000511769,0.000511769,0.000511769
16,2311.82,0.00198,0.99827,1,0.00371,0.000429253,0.000429253,0.000429253
17,2463.05,0.00247,0.99885,1,0.00121,0.000346736,0.000346736,0.000346736
18,2610.51,0.00178,0.99885,1,0.00122,0.00026422,0.00026422,0.00026422
19,2759.12,0.00346,0.99942,1,0.00167,0.000181703,0.000181703,0.000181703
20,2908.9,0.002,0.99885,1,0.00174,9.91865e-05,9.91865e-05,9.91865e-05
