epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.746,2.1728,3.50481,1.77599,0.62969,0.08032,0.07245,0.01937,1.97312,3.30875,1.65085,0.000410714,0.000410714,0.000410714
2,293.268,1.7552,2.48098,1.59669,0.63485,0.15935,0.13594,0.05941,1.66743,3.65328,1.5447,0.000810999,0.000810999,0.000810999
3,458.669,1.62105,2.28399,1.52762,0.65196,0.24131,0.17576,0.09849,1.35528,2.31897,1.48657,0.00119478,0.00119478,0.00119478
4,598.651,1.57888,2.0804,1.52143,0.67854,0.23658,0.17179,0.08813,1.54759,2.13344,1.65426,0.00117575,0.00117575,0.00117575
5,736.295,1.52318,1.98147,1.46555,0.65733,0.22252,0.17057,0.09747,1.34362,2.05893,1.3964,0.001151,0.001151,0.001151
6,859.952,1.46665,1.90376,1.4236,0.66056,0.26646,0.19291,0.11405,1.26397,1.89672,1.38202,0.00112625,0.00112625,0.00112625
7,972.823,1.48485,1.84789,1.4541,0.69158,0.21587,0.18732,0.1112,1.26637,2.0438,1.45625,0.0011015,0.0011015,0.0011015
8,1086.97,1.38011,1.83726,1.36465,0.70673,0.23777,0.20876,0.12864,1.23745,1.74687,1.3859,0.00107675,0.00107675,0.00107675
9,1198.67,1.37011,1.68953,1.36904,0.44971,0.24285,0.19528,0.12113,1.32735,2.04806,1.47336,0.001052,0.001052,0.001052
10,1332.66,1.40808,1.66043,1.41413,0.43633,0.2926,0.22043,0.13044,1.4044,1.57301,1.48066,0.00102725,0.00102725,0.00102725
11,1473.88,1.31826,1.62799,1.34721,0.47048,0.26681,0.22621,0.14768,1.18047,1.55039,1.33622,0.0010025,0.0010025,0.0010025
12,1619.58,1.3195,1.58769,1.34296,0.72641,0.25459,0.22715,0.14652,1.16373,1.50511,1.36084,0.00097775,0.00097775,0.00097775
13,1758.24,1.28461,1.53553,1.32866,0.71541,0.25251,0.24584,0.14535,1.26994,1.54805,1.37269,0.000953,0.000953,0.000953
14,1903.58,1.27497,1.50108,1.31858,0.72807,0.27539,0.25026,0.16101,1.1813,1.3962,1.33895,0.00092825,0.00092825,0.00092825
15,2050.86,1.22235,1.42961,1.28089,0.74197,0.28774,0.25487,0.16695,1.15433,1.41904,1.34519,0.0009035,0.0009035,0.0009035
16,2189.4,1.23123,1.4377,1.29517,0.75578,0.27747,0.26408,0.17399,1.12073,1.52855,1.35127,0.00087875,0.00087875,0.00087875
17,2322.78,1.23136,1.39655,1.27871,0.75365,0.28622,0.27276,0.17155,1.28719,1.36371,1.37355,0.000854,0.000854,0.000854
18,2445.3,1.20359,1.35766,1.26419,0.79264,0.26228,0.2893,0.20079,1.06172,1.27954,1.31932,0.00082925,0.00082925,0.00082925
19,2612.69,1.18975,1.40801,1.27133,0.75994,0.28433,0.27425,0.16456,1.37183,1.45076,1.5099,0.0008045,0.0008045,0.0008045
20,4032.59,1.23076,1.33,1.28047,0.76828,0.30544,0.29504,0.19979,1.09986,1.21079,1.28234,0.00077975,0.00077975,0.00077975
21,4213.28,1.17571,1.28865,1.24332,0.77344,0.30552,0.31203,0.21721,1.08975,1.28454,1.27088,0.000755,0.000755,0.000755
22,4389.49,1.13067,1.24837,1.22992,0.75235,0.31783,0.29923,0.20837,1.03934,1.20914,1.25245,0.00073025,0.00073025,0.00073025
23,4573.52,1.15301,1.2479,1.23886,0.76344,0.30485,0.29978,0.20726,1.08599,1.17117,1.26803,0.0007055,0.0007055,0.0007055
24,4767.75,1.11507,1.2017,1.21224,0.52,0.33013,0.31158,0.20345,1.20958,1.26708,1.39252,0.00068075,0.00068075,0.00068075
25,4954.69,1.11951,1.19542,1.21593,0.80277,0.27479,0.29949,0.20587,1.06724,1.16868,1.26783,0.000656,0.000656,0.000656
26,5136.6,1.15867,1.23354,1.25033,0.73858,0.34858,0.34616,0.24157,1.02642,1.11502,1.24902,0.00063125,0.00063125,0.00063125
27,5332.02,1.11763,1.18764,1.21858,0.55223,0.36299,0.34681,0.24108,1.03642,1.06972,1.22905,0.0006065,0.0006065,0.0006065
28,5496.12,1.07425,1.16264,1.19484,0.61372,0.39163,0.34907,0.24277,1.01906,1.10887,1.27453,0.00058175,0.00058175,0.00058175
29,5695.52,1.09376,1.14697,1.23476,0.62535,0.33464,0.34533,0.23659,1.03913,1.0645,1.25396,0.000557,0.000557,0.000557
30,5879.03,1.03258,1.17583,1.1594,0.61595,0.3885,0.3745,0.26307,1.0333,1.01908,1.21735,0.00053225,0.00053225,0.00053225
31,6068.3,1.04488,1.0928,1.16968,0.7178,0.3555,0.37867,0.27282,1.01086,1.01692,1.22861,0.0005075,0.0005075,0.0005075
32,6261.15,1.03316,1.07481,1.17121,0.68889,0.31223,0.34837,0.25184,0.97619,1.16074,1.1991,0.00048275,0.00048275,0.00048275
33,6431.36,1.0131,1.07272,1.1575,0.66549,0.37089,0.40182,0.2937,0.98175,1.00591,1.18002,0.000458,0.000458,0.000458
34,6568.64,1.01417,1.05218,1.15568,0.69747,0.36415,0.39373,0.28484,0.97423,0.99039,1.20908,0.00043325,0.00043325,0.00043325
35,6694.17,0.98588,1.00784,1.13427,0.62769,0.35836,0.37385,0.26692,0.99518,0.99733,1.21771,0.0004085,0.0004085,0.0004085
36,6818.56,0.9834,0.99473,1.13372,0.65929,0.37884,0.39691,0.28884,0.93637,0.94654,1.17552,0.00038375,0.00038375,0.00038375
37,6943.69,0.97233,1.02281,1.13613,0.69545,0.37601,0.39677,0.29068,0.92568,0.92013,1.18858,0.000359,0.000359,0.000359
38,7063.45,0.95506,0.95843,1.1188,0.69002,0.38246,0.4122,0.30227,0.95146,0.91412,1.19589,0.00033425,0.00033425,0.00033425
39,7172.33,0.94837,0.94675,1.12996,0.67667,0.47965,0.45756,0.3389,0.93814,0.89696,1.18915,0.0003095,0.0003095,0.0003095
40,7280.4,0.9454,0.94836,1.10972,0.69732,0.43392,0.45309,0.34519,0.85703,0.89807,1.11585,0.00028475,0.00028475,0.00028475
41,7386.45,0.8862,0.87939,1.09039,0.70866,0.38374,0.45181,0.3403,0.94156,0.92825,1.18327,0.00026,0.00026,0.00026
42,7491.92,0.87915,0.85313,1.09697,0.6335,0.46278,0.44436,0.33935,0.86632,0.88831,1.13537,0.00023525,0.00023525,0.00023525
43,7611.88,0.84304,0.81673,1.07052,0.75717,0.42723,0.48838,0.37346,0.8812,0.87048,1.14477,0.0002105,0.0002105,0.0002105
44,7740.39,0.84556,0.81774,1.06952,0.75574,0.43218,0.50233,0.38955,0.83922,0.83362,1.10042,0.00018575,0.00018575,0.00018575
45,7863.76,0.80808,0.83407,1.04087,0.83385,0.41738,0.49131,0.38039,0.84181,0.8088,1.10607,0.000161,0.000161,0.000161
46,7986.14,0.85001,0.79417,1.10362,0.78692,0.45185,0.53886,0.41754,0.85274,0.80098,1.1264,0.00013625,0.00013625,0.00013625
47,8121.61,0.81792,0.75243,1.05881,0.83194,0.46792,0.52613,0.41812,0.81563,0.79891,1.1062,0.0001115,0.0001115,0.0001115
48,8245.91,0.79288,0.74954,1.04885,0.87254,0.44157,0.56375,0.44694,0.82026,0.78429,1.1009,8.675e-05,8.675e-05,8.675e-05
49,8353.27,0.81168,0.74225,1.06412,0.8646,0.46082,0.56495,0.44744,0.80542,0.77218,1.08875,6.2e-05,6.2e-05,6.2e-05
50,8479.75,0.77941,0.73144,1.04115,0.8929,0.46355,0.61201,0.49172,0.80289,0.76228,1.08953,3.725e-05,3.725e-05,3.725e-05
